6
45 49 49 65 65 45 フシギダネ
60 62 63 80 80 60 フシギソウ
80 82 83 100 100 80 フシギバナ
39 52 43 60 50 65 ヒトカゲ
58 64 58 80 65 80 リザード
78 84 78 109 85 100 リザードン
44 48 65 50 64 43 ゼニガメ
59 63 80 65 80 58 カメール
79 83 100 85 105 78 カメックス
45 30 35 20 20 45 キャタピー
50 20 55 25 25 30 トランセル
60 45 50 80 80 70 バタフリー
40 35 30 20 20 50 ビードル
45 25 50 25 25 35 コクーン
65 80 40 45 80 75 スピアー
40 45 40 35 35 56 ポッポ
63 60 55 50 50 71 ピジョン
83 80 75 70 70 91 ピジョット
30 56 35 25 35 72 コラッタ
55 81 60 50 70 97 ラッタ
40 60 30 31 31 70 オニスズメ
65 90 65 61 61 100 オニドリル
35 60 44 40 54 55 アーボ
60 85 69 65 79 80 アーボック
35 55 30 50 40 90 ピカチュウ
60 90 55 90 80 100 ライチュウ
50 75 85 20 30 40 サンド
75 100 110 45 55 65 サンドパン
55 47 52 40 40 41 ニドラン♀
70 62 67 55 55 56 ニドリーナ
90 82 87 75 85 76 ニドクイン
46 57 40 40 40 50 ニドラン♂
61 72 57 55 55 65 ニドリーノ
81 92 77 85 75 85 ニドキング
70 45 48 60 65 35 ピッピ
95 70 73 85 90 60 ピクシー
38 41 40 50 65 65 ロコン
73 76 75 81 100 100 キュウコン
115 45 20 45 25 20 プリン
140 70 45 75 50 45 プクリン
40 45 35 30 40 55 ズバット
75 80 70 65 75 90 ゴルバット
45 50 55 75 65 30 ナゾノクサ
60 65 70 85 75 40 クサイハナ
75 80 85 100 90 50 ラフレシア
35 70 55 45 55 25 パラス
60 95 80 60 80 30 パラセクト
60 55 50 40 55 45 コンパン
70 65 60 90 75 90 モルフォン
10 55 25 35 45 95 ディグダ
35 80 50 50 70 120 ダグトリオ
40 45 35 40 40 90 ニャース
65 70 60 65 65 115 ペルシアン
50 52 48 65 50 55 コダック
80 82 78 95 80 85 ゴルダック
40 80 35 35 45 70 マンキー
65 105 60 60 70 95 オコリザル
55 70 45 70 50 60 ガーディ
90 110 80 100 80 95 ウインディ
40 50 40 40 40 90 ニョロモ
65 65 65 50 50 90 ニョロゾ
90 85 95 70 90 70 ニョロボン
25 20 15 105 55 90 ケーシィ
40 35 30 120 70 105 ユンゲラー
55 50 45 135 85 120 フーディン
70 80 50 35 35 35 ワンリキー
80 100 70 50 60 45 ゴーリキー
90 130 80 65 85 55 カイリキー
50 75 35 70 30 40 マダツボミ
65 90 50 85 45 55 ウツドン
80 105 65 100 60 70 ウツボット
40 40 35 50 100 70 メノクラゲ
80 70 65 80 120 100 ドククラゲ
40 80 100 30 30 20 イシツブテ
55 95 115 45 45 35 ゴローン
80 110 130 55 65 45 ゴローニャ
50 85 55 65 65 90 ポニータ
65 100 70 80 80 105 ギャロップ
90 65 65 40 40 15 ヤドン
95 75 110 100 80 30 ヤドラン
25 35 70 95 55 45 コイル
50 60 95 120 70 70 レアコイル
52 65 55 58 62 60 カモネギ
35 85 45 35 35 75 ドードー
60 110 70 60 60 100 ドードリオ
65 45 55 45 70 45 パウワウ
90 70 80 70 95 70 ジュゴン
80 80 50 40 50 25 ベトベター
105 105 75 65 100 50 ベトベトン
30 65 100 45 25 40 シェルダー
50 95 180 85 45 70 パルシェン
30 35 30 100 35 80 ゴース
45 50 45 115 55 95 ゴースト
60 65 60 130 75 110 ゲンガー
35 45 160 30 45 70 イワーク
60 48 45 43 90 42 スリープ
85 73 70 73 115 67 スリーパー
30 105 90 25 25 50 クラブ
55 130 115 50 50 75 キングラー
40 30 50 55 55 100 ビリリダマ
60 50 70 80 80 140 マルマイン
60 40 80 60 45 40 タマタマ
95 95 85 125 65 55 ナッシー
50 50 95 40 50 35 カラカラ
60 80 110 50 80 45 ガラガラ
50 120 53 35 110 87 サワムラー
50 105 79 35 110 76 エビワラー
90 55 75 60 75 30 ベロリンガ
40 65 95 60 45 35 ドガース
65 90 120 85 70 60 マタドガス
80 85 95 30 30 25 サイホーン
105 130 120 45 45 40 サイドン
250 5 5 35 105 50 ラッキー
65 55 115 100 40 60 モンジャラ
105 95 80 40 80 90 ガルーラ
30 40 70 70 25 60 タッツー
55 65 95 95 45 85 シードラ
45 67 60 35 50 63 トサキント
80 92 65 65 80 68 アズマオウ
30 45 55 70 55 85 ヒトデマン
60 75 85 100 85 115 スターミー
40 45 65 100 120 90 バリヤード
70 110 80 55 80 105 ストライク
65 50 35 115 95 95 ルージュラ
65 83 57 95 85 105 エレブー
65 95 57 100 85 93 ブーバー
65 125 100 55 70 85 カイロス
75 100 95 40 70 110 ケンタロス
20 10 55 15 20 80 コイキング
95 125 79 60 100 81 ギャラドス
130 85 80 85 95 60 ラプラス
48 48 48 48 48 48 メタモン
55 55 50 45 65 55 イーブイ
130 65 60 110 95 65 シャワーズ
65 65 60 110 95 130 サンダース
65 130 60 95 110 65 ブースター
65 60 70 85 75 40 ポリゴン
35 40 100 90 55 35 オムナイト
70 60 125 115 70 55 オムスター
30 80 90 55 45 55 カブト
60 115 105 65 70 80 カブトプス
80 105 65 60 75 130 プテラ
160 110 65 65 110 30 カビゴン
90 85 100 95 125 85 フリーザー
90 90 85 125 90 100 サンダー
90 100 90 125 85 90 ファイヤー
41 64 45 50 50 50 ミニリュウ
61 84 65 70 70 70 ハクリュー
91 134 95 100 100 80 カイリュー
106 110 90 154 90 130 ミュウツー
100 100 100 100 100 100 ミュウ
45 49 65 49 65 45 チコリータ
60 62 80 63 80 60 ベイリーフ
80 82 100 83 100 80 メガニウム
39 52 43 60 50 65 ヒノアラシ
58 64 58 80 65 80 マグマラシ
78 84 78 109 85 100 バクフーン
50 65 64 44 48 43 ワニノコ
65 80 80 59 63 58 アリゲイツ
85 105 100 79 83 78 オーダイル
35 46 34 35 45 20 オタチ
85 76 64 45 55 90 オオタチ
60 30 30 36 56 50 ホーホー
100 50 50 76 96 70 ヨルノズク
40 20 30 40 80 55 レディバ
55 35 50 55 110 85 レディアン
40 60 40 40 40 30 イトマル
70 90 70 60 60 40 アリアドス
85 90 80 70 80 130 クロバット
75 38 38 56 56 67 チョンチー
125 58 58 76 76 67 ランターン
20 40 15 35 35 60 ピチュー
50 25 28 45 55 15 ピィ
90 30 15 40 20 15 ププリン
35 20 65 40 65 20 トゲピー
55 40 85 80 105 40 トゲチック
40 50 45 70 45 70 ネイティ
65 75 70 95 70 95 ネイティオ
55 40 40 65 45 35 メリープ
70 55 55 80 60 45 モココ
90 75 75 115 90 55 デンリュウ
75 80 85 90 100 50 キレイハナ
70 20 50 20 50 40 マリル
100 50 80 50 80 50 マリルリ
70 100 115 30 65 30 ウソッキー
90 75 75 90 100 70 ニョロトノ
35 35 40 35 55 50 ハネッコ
55 45 50 45 65 80 ポポッコ
75 55 70 55 85 110 ワタッコ
55 70 55 40 55 85 エイパム
30 30 30 30 30 30 ヒマナッツ
75 75 55 105 85 30 キマワリ
65 65 45 75 45 95 ヤンヤンマ
55 45 45 25 25 15 ウパー
95 85 85 65 65 35 ヌオー
65 65 60 130 95 110 エーフィ
95 65 110 60 130 65 ブラッキー
60 85 42 85 42 91 ヤミカラス
95 75 80 100 110 30 ヤドキング
60 60 60 85 85 85 ムウマ
48 72 48 72 48 48 アンノーン
